state,total_population,households_with_car,electric_lighting,total_households,income_330k_545k,income_above_545k,income_middle_high,electric_pct,car_per_1000,station_count,stations_per_million,pop_norm,car_norm,income_norm,electric_norm,demand_score,supply_score,gap_score,station_score,showroom_score
Jharkhand,32988134,171952,2829867,7796033,1859,1634,3493,36.29880735497143,22.05634583640167,135.0,4.092380611767855,0.16509557835569325,0.10878575954920582,0.030181538541297643,0.3629880735497143,14.697348797957567,3.642770109220714,11.054578688736854,43.29551297988298,40.40882186046094
Karnataka,61095297,833478,11945467,17999066,17178,7569,24747,66.36714927319007,46.30673613841962,1041.0,17.0389547332915,0.3057633812518117,0.22839293056190446,0.21382838084211073,0.6636714927319006,31.712323519892294,15.16696536395379,16.545358155938505,52.46410029424431,46.8081318916929
Kerala,33406061,788957,7284706,11217853,4418,1542,5960,64.93850472100142,70.33048124271195,852.0,25.50435383567072,0.16718717589120283,0.34688224777571725,0.05149784417581848,0.6493850472100142,25.55182916313071,22.70231110479129,2.84951805833942,48.13026784501333,34.4506775947897
Madhya Pradesh,72626809,401774,10044644,18498763,6164,3989,10153,54.29900366851557,21.71896574922334,341.0,4.695235887342923,0.363475091861318,0.10712174188677423,0.08772778723441024,0.5429900366851557,25.737716993453073,4.1793925269244765,21.558324466528596,52.6526705692008,48.890674447754876
Maharashtra,112374333,1407482,20004164,33569762,72075,43658,115733,59.5898296806513,41.92707711183654,3079.0,27.399495221030588,0.562399361508907,0.20679168540065682,1.0,0.595898296806513,58.792244239925864,24.38924226937664,34.40300197054923,55.60900780859761,76.14774285852991
Manipur,2855794,30423,346635,609964,121,36,157,56.82876366474087,49.87671403558243,17.0,5.952810321752899,0.014292380469132284,0.24600068662436975,0.0013565707274502518,0.5682876366474087,15.208479299926259,5.298803206032804,9.909676093893456,45.1248969176997,33.686349316131654
Meghalaya,2966889,28837,327958,721467,222,164,386,45.4571033740975,39.9699501155285,21.0,7.078121223948722,0.014848377158045508,0.1971387923780853,0.003335263062393613,0.454571033740975,12.350110092658191,6.30048152165954,6.049628570998651,41.58950338062471,33.41458255982256
Mizoram,1097206,16072,186155,269431,224,175,399,69.09190108042505,59.65163622597251,0.0,0.0,0.005491182348942101,0.2942123143755536,0.0034475905748576467,0.6909190108042504,17.997474168037012,0.0,17.997474168037012,49.867361974064345,35.295619099458705
Nagaland,1978502,31132,326405,534424,242,146,388,61.07603700432615,58.25337185455743,6.0,3.0325973893379943,0.009901800810191198,0.2873158296711862,0.00335254421815731,0.6107603700432616,16.7746779262392,2.699420257102878,14.075257669136322,47.448751941463826,34.5023422649154
Nct Of Delhi,16787941,692279,3310809,4605555,9441,6921,16362,71.8872969707234,150.31391439251078,1886.0,112.34254397248597,0.08401853917521541,0.7413745445093772,0.14137713530280904,0.718872969707234,35.7925354120457,100.0,-64.20746458795429,31.725506459588686,7.181962930216811
