Date,FOUR WHEELER (INVALID CARRIAGE),HEAVY GOODS VEHICLE,HEAVY MOTOR VEHICLE,HEAVY PASSENGER VEHICLE,LIGHT GOODS VEHICLE,LIGHT MOTOR VEHICLE,LIGHT PASSENGER VEHICLE,MEDIUM GOODS VEHICLE,MEDIUM PASSENGER VEHICLE,MEDIUM MOTOR VEHICLE,OTHER THAN MENTIONED ABOVE,THREE WHEELER(NT),TWO WHEELER (INVALID CARRIAGE),THREE WHEELER(T),TWO WHEELER(NT),TWO WHEELER(T),year,month,total,t,sin12,cos12,lag1,lag3,lag12,roll3,roll6,subsidy_flag,covid_flag
2023-07-01,2,13,0,142,205,6920,848,0,2,0,0,15,0,53858,54429,188,2023,7,116622,161,-0.4999999999999997,-0.8660254037844388,102646.0,111358.0,80877.0,124158.0,120583.5,1,0
2023-08-01,3,12,0,247,262,6302,714,0,22,0,0,11,3,56852,62644,133,2023,8,127205,162,-0.8660254037844384,-0.5000000000000004,116622.0,158470.0,89011.0,125912.66666666667,122873.0,1,0
2023-09-01,5,38,0,193,258,5765,596,0,65,0,0,10,1,57541,63222,863,2023,9,128557,163,-1.0,-1.8369701987210297e-16,127205.0,102646.0,94914.0,115491.0,126203.5,1,0
2023-10-01,4,2,0,203,340,6445,1159,0,36,2,0,19,9,56988,75094,67,2023,10,140368,164,-0.8660254037844386,0.5000000000000001,128557.0,116622.0,117497.0,124128.0,124143.0,1,0
2023-11-01,5,15,1,228,277,7129,410,0,40,3,0,8,11,53907,91972,137,2023,11,154143,165,-0.5000000000000004,0.8660254037844384,140368.0,127205.0,121596.0,132043.33333333334,128978.0,1,0
2023-12-01,3,16,0,491,254,7008,499,0,86,0,0,7,0,57647,75748,188,2023,12,141947,166,-2.4492935982947064e-16,1.0,154143.0,128557.0,105006.0,141022.66666666666,128256.83333333333,1,0
2024-01-01,7,21,0,543,397,7024,1453,0,6,0,0,10,1,53451,82093,41,2024,1,145047,167,0.49999999999999994,0.8660254037844387,141947.0,140368.0,102885.0,145486.0,134807.0,1,0
2024-02-01,3,28,0,341,489,6845,668,0,4,0,0,13,0,50622,82576,151,2024,2,141740,168,0.8660254037844386,0.5000000000000001,145047.0,154143.0,107222.0,147045.66666666666,139544.5,1,0
2024-03-01,10,44,0,468,1645,7609,1787,0,4,0,0,44,1,60618,137113,470,2024,3,209813,169,1.0,6.123233995736766e-17,141740.0,141947.0,140920.0,142911.33333333334,141967.0,1,0
2024-04-01,3,0,0,219,279,7023,182,0,2,0,0,17,0,41106,64503,11,2024,4,113345,170,0.8660254037844387,-0.4999999999999998,209813.0,145047.0,111358.0,165533.33333333334,155509.66666666666,1,0
2024-05-01,5,30,0,244,284,6715,126,0,1,20,0,30,2,52296,64025,90,2024,5,123868,171,0.49999999999999994,-0.8660254037844387,113345.0,141740.0,158470.0,154966.0,151005.83333333334,1,0
2024-06-01,2,3,0,129,375,5833,357,0,0,0,0,29,2,49158,53299,115,2024,6,109302,172,1.2246467991473532e-16,-1.0,123868.0,209813.0,102646.0,149008.66666666666,145960.0,1,0
2024-07-01,1,3,0,390,340,6343,232,0,2,0,0,37,0,59147,61237,180,2024,7,127912,173,-0.4999999999999997,-0.8660254037844388,109302.0,113345.0,116622.0,115505.0,140519.16666666666,1,0
2024-08-01,0,0,0,23,14,445,39,0,0,0,0,3,0,4909,3937,1,2024,8,9371,174,-0.8660254037844384,-0.5000000000000004,127912.0,123868.0,127205.0,120360.66666666667,137663.33333333334,1,0
